search_term,tipo_gasto,grupo,categoria,subcategoria
SISTEMA*BEACH LOVERS,Need to check,Need to check,Need to check,Need to check
SISTEMA*POOL DE HOSPED,Need to check,Need to check,Need to check,Need to check
SITE HAVAN.COM,Variável,Custo de vida,Moradia,Utensílios
SMASH LEAGUE,Variável,Custo de vida,Alimentação,Restaurante
SMASHLEAGUE,Variável,Custo de vida,Alimentação,Restaurante
SODIE DOCES BAURU,Variável,Custo de vida,Alimentação,Restaurante
SONEDA PERFUMARIA,Variável,Custo de vida,Bem-estar,Perfume
SORVETERIAGIGABON,Variável,Custo de vida,Alimentação,Restaurante
SORVETERIA GYGABON,Variável,Custo de vida,Alimentação,Restaurante
SORVETERIA PINGUIM,Variável,Custo de vida,Alimentação,Restaurante
SOUZA PIERRE COMERCIO,Need to check,Need to check,Need to check,Need to check
SPOLETO BAURU,Variável,Custo de vida,Alimentação,Restaurante
SP SP GELATERIA LTDA,Variável,Custo de vida,Alimentação,Restaurante
SPT KIDS OUTLET,Variável,Custo de vida,Vestuário,Roupa
SR  SORVETE,Variável,Custo de vida,Alimentação,Restaurante
SR SORVETE,Variável,Custo de vida,Alimentação,Restaurante
SR SORVETE BAURU,Variável,Custo de vida,Alimentação,Restaurante
STAFEBA*FDINTERMEDIA,Need to check,Need to check,Need to check,Need to check
STARBUCKS 124 BAURUSHO,Variável,Custo de vida,Alimentação,Restaurante
SUCO BAGACO,Variável,Lazer,Alimentação,Restaurante
SUCOS LIFE,Variável,Custo de vida,Alimentação,Restaurante
SULEIDYSAURORA,Need to check,Need to check,Need to check,Need to check
SUMIE AWANE AWAJI OTA,Need to check,Need to check,Need to check,Need to check
SUPER CARS,Variável,Custo de vida,Lazer,Brinquedo
SUPERCARS   BAURU 2,Variável,Custo de vida,Lazer,Brinquedo
SUPERMERCADO AMIGAO,Essencial,Custo de vida,Alimento,Mercado
SUPERMERCADO TAUSTE,Essencial,Custo de vida,Alimento - Mercado,Mercado
SUPERM MONTESERRAT,Variável,Lazer,Alimentação,Restaurante
SUPER SHOPPING DA UTIL,Variável,Custo de vida,Moradia,Utensílios
SUPREMA PIZZARIA,Variável,Lazer,Alimentação,Restaurante
SUSHI TRUCK THIAGO PER,Variável,Custo de vida,Alimentação,Restaurante
SUSIMARY CARDOSO DEROS,Need to check,Need to check,Need to check,Need to check
SYMPLA 2CYDU7DM8B8,Need to check,Need to check,Need to check,Need to check
TAHINI,Need to check,Need to check,Need to check,Need to check
TAUSTE SUPERMERCADOS L,Essencial,Custo de vida,Alimento - Mercado,Mercado
TAVELIN E HAMZE SUCOS,Need to check,Need to check,Need to check,Need to check
TAXA VISTO EUA GDIT    70,Variável,Custo de vida,Taxa,Visto Americano
TAYAYA ADMINISTRACAO E,Variável,Lazer,Viagem,Estadia
TAYAYA AQUA RESORT,Variável,Lazer,Viagem,Estadia
TEM TUDO,Variável,Custo de vida,Moradia,Utensílios
TEM TUDO HOUSEWARE,Variável,Custo de vida,Moradia,Utensílios
TENDA ATACADO S A,Essencial,Custo de vida,Alimento,Mercado
TETE VILLAGIO,Variável,Custo de vida,Alimentação,Restaurante
THAISMONIQUE,Need to check,Need to check,Need to check,Need to check
THE ONE,Variável,Custo de vida,Alimentação,Restaurante
THEREZA GRILL,Variável,Custo de vida,Alimentação,Restaurante
TODO        *OUTBACK,Variável,Custo de vida,Alimentação,Restaurante
T O HIRATA COMERCIO DE,Need to check,Need to check,Need to check,Need to check
TOKIO A L ME,Variável,Custo de vida,Alimentação,Restaurante
TOKSTOK TOKSTOK-548793,Variável,Custo de vida,Moradia,Utensílios
TOKUHARA PASTEIS,Variável,Custo de vida,Alimentação,Restaurante
TOKUHARAPASTEL,Variável,Custo de vida,Alimentação,Restaurante
TOMATELLI,Need to check,Need to check,Need to check,Need to check
TOP CELL,Variável,Custo de vida,Celular,Acessórios
TOPSHOP,Need to check,Need to check,Need to check,Need to check
TOP SP TARFA*118669514,Need to check,Need to check,Need to check,Need to check
TOP SP TARFA*118669523,Need to check,Need to check,Need to check,Need to check
TOP SP TARFA*118669546,Need to check,Need to check,Need to check,Need to check
TOP SP TARFA*118669565,Need to check,Need to check,Need to check,Need to check
TOTALPASS,Variável,Custo de vida,Saúde,Academia
TRANSAMERICA EXECUTIVE,Need to check,Need to check,Need to check,Need to check
TREM BAO,Variável,Lazer,Alimentação,Restaurante
TRICAE  4570018876,Variável,Custo de vida,Vestuário,Calçado
TRIO SUPERMERCADOS LTD,Essencial,Custo de vida,Alimento,Mercado
TROPPOCAFETERIA,Variável,Custo de vida,Alimentação,Restaurante
TUNA        *ANOTA*AI,Need to check,Need to check,Need to check,Need to check
UBER* TRIP,Variável,Custo de vida, Transporte,Motorista de App
UBER    UBER    TRIP,Variável,Custo de vida, Transporte,Motorista de App
UBER   *UBER   *TRIP,Variável,Custo de vida, Transporte,Motorista de App
UBER UBER *TRIP HELP.U,Variável,Custo de vida, Transporte,Motorista de App
UBESDNE,Need to check,Need to check,Need to check,Need to check
UDEMY,Variável,Custo de vida, Conhecimento,Curso online
UDEMY SUBSCRIPTION     DU,Variável,Custo de vida, Conhecimento,Curso online
UMEUME PRESENTES,Variável,Lazer,Presente,
UNIFORMESPROF,Variável,Custo de vida,Vestuário,Roupa
VALDECIROBRISTO,Need to check,Need to check,Need to check,Need to check
VALLEY,Need to check,Need to check,Need to check,Need to check
VALMIRDINIZDOS,Need to check,Need to check,Need to check,Need to check
VANESSA,Need to check,Need to check,Need to check,Need to check
VANS   *ORDER10759774,Variável,Custo de vida,Vestuário & calçado,Vans
